"Time","value gNb-1-C1","value gNb-3-C2","value gNb-6-C3"
1764936900536,30,undefined,undefined
1764936901015,undefined,undefined,56
1764936901038,30,undefined,undefined
1764936901039,undefined,20,undefined
1764936901519,undefined,undefined,56
1764936901543,30,undefined,undefined
1764936901544,undefined,20,undefined
1764936902021,undefined,undefined,56
1764936902044,30,undefined,undefined
1764936902045,undefined,20,undefined
1764936902526,undefined,undefined,56
1764936902531,undefined,20,undefined
1764936902549,30,undefined,undefined
1764936903028,undefined,undefined,57
1764936903031,30,undefined,undefined
1764936903032,undefined,20,undefined
1764936903531,undefined,undefined,57
1764936903536,30,undefined,undefined
1764936903537,undefined,20,undefined
1764936904034,undefined,undefined,57
1764936904039,30,undefined,undefined
1764936904040,undefined,20,undefined
1764936904540,undefined,undefined,57
1764936904542,undefined,20,undefined
1764936904545,30,undefined,undefined
1764936905020,undefined,undefined,57
1764936905046,undefined,20,undefined
1764936905047,30,undefined,undefined
1764936905525,undefined,undefined,57
1764936905548,undefined,20,undefined
1764936905551,30,undefined,undefined
1764936906026,undefined,undefined,57
1764936906032,undefined,20,undefined
1764936906033,30,undefined,undefined
1764936906531,undefined,undefined,57
1764936906535,undefined,20,undefined
1764936906538,30,undefined,undefined
1764936907033,undefined,undefined,57
1764936907038,undefined,20,undefined
1764936907040,30,undefined,undefined
1764936907537,undefined,undefined,57
1764936907540,undefined,20,undefined
1764936907546,30,undefined,undefined
1764936908040,undefined,undefined,57
1764936908045,undefined,20,undefined
1764936908049,30,undefined,undefined
1764936908544,undefined,undefined,57
1764936908547,undefined,20,undefined
1764936908555,30,undefined,undefined
1764936909026,undefined,undefined,57
1764936909038,30,undefined,undefined
1764936909052,undefined,20,undefined
1764936909530,undefined,undefined,57
1764936909535,undefined,20,undefined
1764936909543,30,undefined,undefined
1764936910032,undefined,undefined,57
1764936910038,undefined,20,undefined
1764936910045,30,undefined,undefined
1764936910536,undefined,undefined,57
1764936910540,undefined,20,undefined
